pricingDate,instrumentId,bondType,start,maturity,coupon,issuePrice,modelPrice,marketProxyPrice,priceDiff,diffBp,modelVsIssue
2025-08-18,147665.XSHG,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,147666.XIBE,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,147666.XSHG,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,147668.XIBE,FixedRateBond,2018-08-21,2025-08-21,0.040999999999999995,100.0,104.08479671840439,104.08411240283874,0.0006843155656497402,0.06574639970002849,4.084796718404391
2025-08-18,147668.XSHG,FixedRateBond,2018-08-21,2025-08-21,0.040999999999999995,100.0,104.08479671840439,104.08411240283874,0.0006843155656497402,0.06574639970002849,4.084796718404391
2025-08-18,147672.XIBE,FixedRateBond,2018-08-21,2025-08-21,0.040999999999999995,100.0,104.08479671840439,104.08411240283874,0.0006843155656497402,0.06574639970002849,4.084796718404391
2025-08-18,147672.XSHG,FixedRateBond,2018-08-21,2025-08-21,0.040999999999999995,100.0,104.08479671840439,104.08411240283874,0.0006843155656497402,0.06574639970002849,4.084796718404391
2025-08-18,1554018.XIBE,FixedRateBond,2015-08-21,2025-08-21,0.0361,100.0,101.77928933620794,101.77862017842361,0.0006691577843298546,0.06574639970224894,1.7792893362079383
2025-08-18,1566008.OTC,FixedRateBond,2015-08-21,2025-08-21,0.0405,100.0,101.99745780587827,101.99678721372425,0.0006705921540230975,0.06574639970002849,1.9974578058782697
2025-08-18,1566008.XIBE,FixedRateBond,2015-08-21,2025-08-21,0.0405,100.0,101.99745780587827,101.99678721372425,0.0006705921540230975,0.06574639970002849,1.9974578058782697
2025-08-18,1566011.OTC,FixedRateBond,2015-08-21,2025-08-21,0.0405,100.0,101.99745780587827,101.99678721372425,0.0006705921540230975,0.06574639970002849,1.9974578058782697
2025-08-18,1566011.XIBE,FixedRateBond,2015-08-21,2025-08-21,0.0405,100.0,101.99745780587827,101.99678721372425,0.0006705921540230975,0.06574639970002849,1.9974578058782697
2025-08-18,1573008.XIBE,FixedRateBond,2015-08-21,2025-08-21,0.0361,100.0,101.77928933620794,101.77862017842361,0.0006691577843298546,0.06574639970224894,1.7792893362079383
2025-08-18,1573010.XIBE,FixedRateBond,2015-08-21,2025-08-21,0.0361,100.0,101.77928933620794,101.77862017842361,0.0006691577843298546,0.06574639970224894,1.7792893362079383
2025-08-18,1805191.XIBE,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,1805194.XIBE,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,197993.XSHE,FixedRateBond,2024-08-21,2025-08-21,0.015700000000000002,100.0,101.5575855754435,101.55691787527199,0.0006677001715047481,0.06574639970224894,1.5575855754434969
2025-08-18,232654.XSHG,FixedRateBond,2024-08-21,2025-08-21,0.015700000000000002,100.0,101.5575855754435,101.55691787527199,0.0006677001715047481,0.06574639970224894,1.5575855754434969
2025-08-18,259931.OTC,ZeroCouponBond,2025-05-22,2025-08-21,0.0001,100.0,99.99180909437074,99.9911516885482,0.0006574058225368162,0.06574639970002849,-0.008190905629263057
2025-08-18,259931.XIBE,ZeroCouponBond,2025-05-22,2025-08-21,0.0001,100.0,99.99180909437074,99.9911516885482,0.0006574058225368162,0.06574639970002849,-0.008190905629263057
2025-08-18,809172.XBEI,FixedRateBond,2024-08-21,2025-08-21,0.015700000000000002,100.0,101.5575855754435,101.55691787527199,0.0006677001715047481,0.06574639970224894,1.5575855754434969
2025-08-18,809172.XIBE,FixedRateBond,2024-08-21,2025-08-21,0.015700000000000002,100.0,101.5575855754435,101.55691787527199,0.0006677001715047481,0.06574639970224894,1.5575855754434969
2025-08-18,106756.XSHE,FixedRateBond,2018-08-22,2025-08-22,0.0401,100.0,103.99122253950617,103.99031097349608,0.0009115660100889045,0.08765874450755717,3.9912225395061682
2025-08-18,109421.XSHE,FixedRateBond,2015-08-22,2025-08-22,0.0351,100.0,101.72608285942825,101.72519114917415,0.0008917102540948463,0.08765874450755717,1.7260828594282458
2025-08-18,109423.XSHE,FixedRateBond,2015-08-22,2025-08-22,0.0351,100.0,101.72608285942825,101.72519114917415,0.0008917102540948463,0.08765874450755717,1.7260828594282458
2025-08-18,109937.XSHG,FixedRateBond,2022-08-22,2025-08-22,0.0241,100.0,102.39303118370022,102.3921336271121,0.0008975565881144121,0.08765874450755717,2.3930311837002165
2025-08-18,130420.XSHG,FixedRateBond,2015-08-22,2025-08-22,0.0351,100.0,101.72608285942825,101.72519114917415,0.0008917102540948463,0.08765874450755717,1.7260828594282458
2025-08-18,130422.XSHG,FixedRateBond,2015-08-22,2025-08-22,0.0351,100.0,101.72608285942825,101.72519114917415,0.0008917102540948463,0.08765874450755717,1.7260828594282458
2025-08-18,147434.XSHG,FixedRateBond,2018-08-22,2025-08-22,0.0401,100.0,103.99122253950617,103.99031097349608,0.0009115660100889045,0.08765874450755717,3.9912225395061682
2025-08-18,1556004.XIBE,FixedRateBond,2015-08-22,2025-08-22,0.0351,100.0,101.72608285942825,101.72519114917415,0.0008917102540948463,0.08765874450755717,1.7260828594282458
2025-08-18,1556006.XIBE,FixedRateBond,2015-08-22,2025-08-22,0.0351,100.0,101.72608285942825,101.72519114917415,0.0008917102540948463,0.08765874450755717,1.7260828594282458
2025-08-18,1805210.XIBE,FixedRateBond,2018-08-22,2025-08-22,0.0401,100.0,103.99122253950617,103.99031097349608,0.0009115660100889045,0.08765874450755717,3.9912225395061682
2025-08-18,1806131.OTC,FixedRateBond,2018-08-22,2025-08-22,0.0409,100.0,104.07113210729648,104.07021984081528,0.000912266481194024,0.08765874450755717,4.071132107296478
2025-08-18,1806131.XIBE,FixedRateBond,2018-08-22,2025-08-22,0.0409,100.0,104.07113210729648,104.07021984081528,0.000912266481194024,0.08765874450755717,4.071132107296478
2025-08-18,194598.XSHE,FixedRateBond,2022-08-22,2025-08-22,0.0241,100.0,102.39303118370022,102.3921336271121,0.0008975565881144121,0.08765874450755717,2.3930311837002165
2025-08-18,2271622.XIBE,FixedRateBond,2022-08-22,2025-08-22,0.0241,100.0,102.39303118370022,102.3921336271121,0.0008975565881144121,0.08765874450755717,2.3930311837002165
2025-08-18,106792.XSHE,FixedRateBond,2018-08-23,2025-08-23,0.0405,100.0,104.02750307434584,104.0263632623862,0.0011398119596464085,0.10956952871454817,4.027503074345844
2025-08-18,147657.XIBE,FixedRateBond,2018-08-23,2025-08-23,0.0405,100.0,104.02750307434584,104.0263632623862,0.0011398119596464085,0.10956952871454817,4.027503074345844
2025-08-18,147657.XSHG,FixedRateBond,2018-08-23,2025-08-23,0.0405,100.0,104.02750307434584,104.0263632623862,0.0011398119596464085,0.10956952871454817,4.027503074345844
2025-08-18,09230412.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z01.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z02.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z03.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z04.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z05.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z06.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z07.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z08.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z09.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z10.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z11.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
2025-08-18,09230412Z12.XIBE,FixedRateBond,2023-08-24,2025-08-24,0.0215,100.0,102.12608357336737,102.12474085001489,0.0013427233524794246,0.1314787524853145,2.1260835733673673
