曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.288,7,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3676,7,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.394,7,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8039,8,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8223,8,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8373,8,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8228,8,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7733,8,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7075,8,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6301,8,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.5164,8,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4118,8,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3222,8,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.235,8,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3412,8,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.846,9,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8706,9,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8926,9,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8832,9,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8352,9,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7686,9,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6879,9,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.5603,9,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4353,9,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3126,9,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.1289,9,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.918,10,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9533,10,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9885,10,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9914,10,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9534,10,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8971,10,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8282,10,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7045,10,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.5889,10,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4968,10,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9649,11,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0105,11,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0589,11,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0741,11,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.045,11,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9974,11,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9389,11,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8085,11,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6812,11,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0004,12,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0576,12,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.122,12,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.1528,12,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.1361,12,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.103,12,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.068,12,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9361,12,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0096,13,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0779,13,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.1592,13,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.2071,13,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.2029,13,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.1866,13,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.2,13,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9779,14,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0535,14,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.149,14,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.2094,14,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.2043,14,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.1732,14,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9389,15,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0236,15,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.141,15,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.2276,15,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.2355,15,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8649,16,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.9531,16,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.0937,16,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,3.2196,16,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.747,17,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.8201,17,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.968,17,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6367,18,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6724,18,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6009,19,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4815,1,19,19Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4735,1,18,18Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4606,1,17,17Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.432,1,16,16Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3802,1,15,15Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3212,1,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2568,1,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1802,1,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.112,1,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.0569,1,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.0133,1,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.9978,1,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.9676,1,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.8947,1,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.8318,1,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.7565,1,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.7482,1,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.6875,1,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.6827,1,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5261,2,18,18Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5202,2,17,17Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5094,2,16,16Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4821,2,15,15Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4302,2,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3705,2,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3048,2,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2256,2,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.155,2,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.0985,2,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.0547,2,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.0429,2,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.0151,2,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.9371,2,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.8691,2,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.7811,2,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.781,2,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.6923,2,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5753,3,17,17Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5722,3,16,16Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5641,3,15,15Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5388,3,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4872,3,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4272,3,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3606,3,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2791,3,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2065,3,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1494,3,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1066,3,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1014,3,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.0798,3,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.9984,3,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.9282,3,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.8256,3,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.8698,3,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6196,4,16,16Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6192,4,15,15Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6138,4,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5904,4,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5388,4,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4781,4,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4099,4,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3246,4,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2487,4,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1895,4,7,7Y
